GENE_SYMBOL,GSM2445716,GSM2445717,GSM2445718,GSM2445719,GSM2445720,GSM2445721,GSM2445722,GSM2445723,GSM2445724,GSM2445725,GSM2445726,GSM2445727,GSM2445728,GSM2445729,GSM2445730,GSM2445731,GSM2445732,GSM2445733,GSM2445734,GSM2445735,GSM2445736,GSM2445737,GSM2445738,GSM2445739,GSM2445740
5S_rRNA,,,,,,,,,,,,,,,,,,,,,,,,,
5_8S_rRNA,,,,,,,,,,,,,,,,,,,,,,,,,
7SK,,,,,,,,,,,,,,,,,,,,,,,,,
A1BG,,,,,,,,,,,,,,,,,,,,,,,,,
A1BG-AS1,,,,,,,,,,,,,,,,,,,,,,,,,
A1CF,,,,,,,,,,,,,,,,,,,,,,,,,
A2M,12.48840647,11.46366462,12.11035098,13.32466136,14.42413274,13.77150483,10.63394157,13.3695467,13.35279711,13.93428894,12.77942668,15.22280682,12.28491433,13.98926178,13.28403013,13.23628329,13.35426454,13.06775583,13.32343749,12.98396304,13.87638909,12.31606812,13.26700284,12.58495629,13.28409259
A2M-AS1,,,,,,,,,,,,,,,,,,,,,,,,,
A2ML1,,,,,,,,,,,,,,,,,,,,,,,,,
A2ML1-AS1,,,,,,,,,,,,,,,,,,,,,,,,,
A2ML1-AS2,,,,,,,,,,,,,,,,,,,,,,,,,
A2MP1,,,,,,,,,,,,,,,,,,,,,,,,,
A3GALT2,,,,,,,,,,,,,,,,,,,,,,,,,
A4GALT,,,,,,,,,,,,,,,,,,,,,,,,,
A4GNT,,,,,,,,,,,,,,,,,,,,,,,,,
AA06,,,,,,,,,,,,,,,,,,,,,,,,,
AAAS,,,,,,,,,,,,,,,,,,,,,,,,,
AACS,,,,,,,,,,,,,,,,,,,,,,,,,
AACSP1,,,,,,,,,,,,,,,,,,,,,,,,,
AADAC,,,,,,,,,,,,,,,,,,,,,,,,,
AADACL2,,,,,,,,,,,,,,,,,,,,,,,,,
AADACL2-AS1,,,,,,,,,,,,,,,,,,,,,,,,,
AADACL3,,,,,,,,,,,,,,,,,,,,,,,,,
AADACL4,,,,,,,,,,,,,,,,,,,,,,,,,
AADACP1,,,,,,,,,,,,,,,,,,,,,,,,,
AADAT,,,,,,,,,,,,,,,,,,,,,,,,,
AAED1,,,,,,,,,,,,,,,,,,,,,,,,,
AAGAB,,,,,,,,,,,,,,,,,,,,,,,,,
AAK1,,,,,,,,,,,,,,,,,,,,,,,,,
AAMDC,,,,,,,,,,,,,,,,,,,,,,,,,
AAMP,,,,,,,,,,,,,,,,,,,,,,,,,
AANAT,,,,,,,,,,,,,,,,,,,,,,,,,
AAR2,,,,,,,,,,,,,,,,,,,,,,,,,
AARD,,,,,,,,,,,,,,,,,,,,,,,,,
AARS,,,,,,,,,,,,,,,,,,,,,,,,,
AARS2,,,,,,,,,,,,,,,,,,,,,,,,,
AARSD1,,,,,,,,,,,,,,,,,,,,,,,,,
AARSP1,,,,,,,,,,,,,,,,,,,,,,,,,
AASDH,,,,,,,,,,,,,,,,,,,,,,,,,
AASDHPPT,,,,,,,,,,,,,,,,,,,,,,,,,
AASS,,,,,,,,,,,,,,,,,,,,,,,,,
AATBC,,,,,,,,,,,,,,,,,,,,,,,,,
AATF,,,,,,,,,,,,,,,,,,,,,,,,,
AATK,,,,,,,,,,,,,,,,,,,,,,,,,
AATK-AS1,,,,,,,,,,,,,,,,,,,,,,,,,
AB015752.3,,,,,,,,,,,,,,,,,,,,,,,,,
AB019438.66,,,,,,,,,,,,,,,,,,,,,,,,,
AB019440.50,,,,,,,,,,,,,,,,,,,,,,,,,
AB019441.29,,,,,,,,,,,,,,,,,,,,,,,,,
ABALON,,,,,,,,,,,,,,,,,,,,,,,,,
ABAT,,,,,,,,,,,,,,,,,,,,,,,,,
ABBA01000934.1,,,,,,,,,,,,,,,,,,,,,,,,,
ABC11-4932300O16.1,,,,,,,,,,,,,,,,,,,,,,,,,
ABC12-47043100G14.2,,,,,,,,,,,,,,,,,,,,,,,,,
ABC12-47964100C23.1,,,,,,,,,,,,,,,,,,,,,,,,,
ABC12-49244600F4.4,,,,,,,,,,,,,,,,,,,,,,,,,
ABC13-47488600E17.1,,,,,,,,,,,,,,,,,,,,,,,,,
ABC13-47656900H15.1,,,,,,,,,,,,,,,,,,,,,,,,,
ABC14-1188822O7.1,,,,,,,,,,,,,,,,,,,,,,,,,
ABC7-42391500H16.4,,,,,,,,,,,,,,,,,,,,,,,,,
ABC7-42404400C24.1,,,,,,,,,,,,,,,,,,,,,,,,,
ABC7-42418200C9.1,,,,,,,,,,,,,,,,,,,,,,,,,
ABC7-481722F1.1,,,,,,,,,,,,,,,,,,,,,,,,,
ABC7-481722F1.2,,,,,,,,,,,,,,,,,,,,,,,,,
ABC8-43014700C16.1,,,,,,,,,,,,,,,,,,,,,,,,,
ABCA1,,,,,,,,,,,,,,,,,,,,,,,,,
ABCA10,,,,,,,,,,,,,,,,,,,,,,,,,
