,S100A7,HLA-DQA1,MAGEA3,S100A8,DMBT1,MAGEC2,HLA-DQB1,C7,SPINK5,MS4A1,CHIT1,PLA2G1B,CD24,MME,PRAME,MAGEC1,LCN2,EPCAM,CTAG1B,KIT,CDH1,CXCL13,MAGEB2,ARG1,CT45A1,TREM1,TPSAB1,TPTE,CD22,CCL21,CD19,CEACAM6,CXCL6,SPP1,IL13RA2,CXCL14,ABCB1,USP9Y,PASD1,CR2,ITGB3,PAX5,S100B,CCL19,SSX1,BLK,CXCL9,SAA1,CCL27,MARCO,CD79B,LTB,CCL25,CTSG,CXCL2,MAGEA12,CD79A,FCER2,IL1B,C3,POU2AF1,CCL18,SERPINB2,CXCL10,CXCL1,SELL,TNFRSF13B,MUC1,CCR7,C4B,NCAM1,ITGB4,CD27,C4BPA,CD8A,IFI27,CXCL11,BTLA,MX1,IDO1,CD3E,CD3D,CD48,CTCFL,CMA1,CTLA4,IL22RA1,LIF,ZAP70,LAMP3,CCL24,CXCL5,SLC11A1,TCF7,MAGEA1,MAGEA4,LTK,IL1A,FCER1A,CD38
0,9.445088586,10.742933236,8.629642251,9.203199989,3.810882566,13.16819019,7.486447616,5.85041093,8.306293482000001,5.164519521,6.85041093,3.96288566,7.49893856,8.738989648,12.57021597,7.91708197,4.225920065,4.341397283,4.225920065,6.685351684,12.36674984,5.033274987,4.225920065,6.707046755,4.54784816,4.341397283,11.4667114,10.615372154,7.738989648,8.240870407,4.100389183,3.810882566,4.54784816,7.907744105,4.100389183,12.24967442,8.015996996,1.96288566,2.640957565,5.033274987,8.467506052000001,3.96288566,12.01491022,9.007279779,2.225920065,2.225920065,9.412447034,9.514401677,6.944738313,5.595153875,5.728420406,6.869776255,3.448312487,8.428860124,6.067222319,3.810882566,6.54784816,4.640957565,4.54784816,9.629642251,3.448312487,8.100389183,5.595153875,6.225920065,5.728420406,6.54784816,3.640957565,6.225920065,4.448312487,7.435373431,4.640957565,8.422317278000001,6.284813754,3.640957565,5.033274987,12.01273421,5.926359784,5.284813754,8.790704684,6.067222319,5.033274987,6.395845067,6.395845067,2.640957565,7.810882566,11.7983045,6.707046755,6.640957565,5.49893856,5.225920065,3.225920065,4.225920065,5.164519521,6.707046755,3.225920065,2.640957565,5.54784816,3.448312487,7.85041093,5.225920065
1,4.33511786,11.29429185,3.849691033,7.458500276,3.849691033,3.527762938,8.593852129,10.23512207,3.527762938,9.446626175,7.677510058,4.69768794,7.920080361,11.26077826,12.9938394,4.69768794,4.112725439,3.849691033,4.69768794,4.9871945570000005,13.64020245,7.615225779,1.527762938,4.527762938,6.615225779,7.309122652,7.987194557,4.527762938,8.954027693,12.03852711,8.373252989000001,3.527762938,1.527762938,12.06109267,5.112725439,10.015602972,6.434653534,6.794549479,1.527762938,6.171619128,5.987194557,6.69768794,14.33249899,11.56942209,4.112725439,6.657045955,9.120219975,5.849691033,3.112725439,7.434653534,8.849691033,9.516447625,4.33511786,5.69768794,6.434653534,3.849691033,9.544571226,6.737216304,4.527762938,9.059144399,6.228202656,7.813165157,3.849691033,6.28265044,12.20107201,9.120219975,6.228202656,6.69768794,7.228202656,8.894085151999999,5.33511786,6.615225779,8.051324894,4.33511786,6.385743933,8.677510058,6.051324894,8.347941901,9.347941901,6.954027693,7.831543686,8.572157058,8.813165157,4.112725439,5.112725439,7.794549479,3.527762938,4.69768794,7.636287395,4.527762938,3.849691033,3.849691033,8.282650440000001,9.051324894,2.527762938,4.112725439,8.813165157,3.527762938,6.737216304,6.228202656
2,14.91727989,4.191913631,12.60493704,15.24224818,8.669960928,10.032017136,3.384558709,9.892353349,11.20473767,4.706486804,4.384558709,5.191913631,12.52921695,5.191913631,14.49667237,11.41384594,10.919834086,10.242539704,5.084998427,12.65017376,11.21902976,5.384558709,5.47202155,6.810823464,4.554483711,5.554483711,10.002944211,5.291449305,5.384558709,9.1983399,5.47202155,9.710988196,7.267201759,13.65951918,5.554483711,11.85318275,6.669960928,0.384558709,2.384558709,4.706486804,7.574383268,3.96952121,12.37891215,8.900258547,3.706486804,4.191913631,8.688339457,6.139446211,3.706486804,4.843990328,6.428952829,7.428952829,4.384558709,5.191913631,6.810823464,7.6133774,7.632486223,4.706486804,7.759598141,8.084998427,5.084998427,11.01026755,7.810823464,6.191913631,9.042770192,6.706486804,4.96952121,8.395785965,5.191913631,9.132751559,5.47202155,9.674577556,6.776876132,3.96952121,6.513841726,11.00294421,5.908120665,4.843990328,8.697441664,5.554483711,6.428952829,6.843990328,6.776876132,1.384558709,4.554483711,6.028414899,6.632486223,6.191913631,6.554483711,5.776876132,6.084998427,6.384558709,7.084998427,6.742110714,5.47202155,3.706486804,8.961987536999999,5.47202155,7.084998427,6.554483711
3,3.743729864,5.106299943,13.30269716,9.086122061,3.936374942,6.521337443,3.743729864,7.165193632,9.106299943,5.521337443,12.87815618,3.936374942,5.106299943,13.37724411,13.71075021,5.743729864,4.843265538,3.743729864,4.636814660000001,3.258303037,10.471650319,7.704559267,6.023837783,4.106299943,4.636814660000001,7.126199501,6.867112279,7.086122061,7.677841928,8.498617366000001,6.328692365,3.743729864,5.794355937,14.48664075,3.521337443,8.212499347,7.475533753,2.936374942,9.50242898,3.743729864,8.913654865,3.936374942,14.40652538,11.59726221,9.902159227,3.521337443,14.01819122,5.521337443,4.258303037,10.050117108,8.002464132,10.136047287,3.258303037,4.843265538,10.583833368,8.986223491,9.391702162,4.395806561000001,7.459936898,9.408050156,6.490963794,11.59547891,2.936374942,9.887659657,7.794355937,8.580231132,4.636814660000001,7.002464132,6.428228038,9.436220829,5.63681466,6.221777161,9.59815304,4.106299943,9.023837783,10.621123562,9.846268026,7.328692365,11.30597229,9.217145712,9.116284032,9.416155206,10.345765878,3.521337443,4.106299943,10.018523983,3.521337443,6.717734655,8.498617366,7.203161483,3.743729864,4.7437298640000005,7.794355937,8.075926294,6.184302455,6.717734655,5.794355937,4.521337443,4.395806561000001,9.864152904
4,5.055369527,3.552869187,4.775261608,8.661393644,11.092028,4.775261608,3.775261608,14.09557865,5.552869187,10.425287565,9.987497414,6.668346404,11.14407984,10.739396156,7.377297622,4.668346403999999,6.611762876,8.762322552,5.552869187,8.253308905,11.10233301,10.883786065,4.668346403999999,4.668346403999999,5.360224109,9.321053512,11.63767757,5.289834781,10.692420539,11.23820201,9.784890309,9.537762294,5.722794188,10.076431143,5.491468642,9.19190836,8.225294529,3.427338305,4.289834781,8.689005875,8.351610979,7.898644024,13.71756665,12.70303957,5.215834199,7.682152204,11.56595919,6.097189703,4.874797281999999,10.427338305,10.32985046,10.752541532,4.874797281999999,6.325458691,11.41705533,4.668346403999999,12.35322986,7.055369527,7.522495538,12.61266428,9.398359238,11.25907739,5.427338305,8.967906686,7.552869187,9.729457918,7.552869187,11.17492101,7.668346404,11.71189955,6.7492664,10.841350799,10.960845022,9.394171441,9.050055727,12.26137833,8.922102996,8.342946117,12.41602299,8.995812683,9.303297041,9.47965934,9.979133941,3.775261608,4.552869187000001,9.321053512,4.552869187000001,8.215834199,8.987497414,10.194318879,3.289834781,5.427338305,9.868773494,10.21108067,4.137831687,5.137831687,8.044722282999999,3.967906686,7.736091011,10.246356144
5,3.628865907,4.043903406,4.043903406,6.329305625,4.851258328,4.628865907,4.043903406,6.851258328,4.503335025,6.798790908,6.131366247,5.131366247,5.436220829,6.926546456,13.98458405,4.2138284079999995,4.365831501000001,4.503335025,5.131366247,11.25822253,5.798790908,10.136660547,3.628865907,4.043903406,5.131366247,5.628865907,9.109992597,5.043903406,11.56746536,8.077326408000001,6.213828408,3.851258328,3.043903406,14.02600571,4.744343124,11.19618825,6.567465362,3.213828408,4.043903406,4.851258328,11.88939346,4.744343124,14.46030511,9.740870932,3.851258328,4.503335025,13.10223343,6.329305625,3.851258328,6.436220829,6.998099717,8.687759596,3.365831501,6.65861325,7.043903406,3.628865907,8.02118333,5.131366247,5.503335025,10.343111425,5.744343124,8.818690466,4.950794002,10.055130662,5.901884401,7.744343124,5.628865907,8.099185842,5.998099717,10.183454759,5.29183092,6.470168161,8.519636837,3.628865907,8.883107194,13.79398227,9.621332234,7.702114889,10.873626141,9.465968172,8.109992597,8.765002595,8.263071927,4.043903406,5.503335025,8.93872117,4.503335025,8.628865907,7.680528027,6.87679342,2.628865907,4.744343124,7.702114889,7.453294342,3.043903406,4.043903406,5.503335025,3.365831501,6.173186423,8.066271219
6,5.879054069,11.28504643,5.879054069,8.171835818,6.257565692,6.142088475,9.579493787,9.032859405,4.879054069,7.914677978,10.186482594,5.557125974,5.727050975,13.05796785,6.879054069,5.364480896,5.557125974,3.557125974,6.142088475,11.00833709,10.493763913,6.805053487,5.557125974,4.1420884749999995,7.142088475,6.805053487,5.364480896,5.879054069,9.126981582,10.396329762,7.983390729,5.364480896,9.111714826,13.67541821,4.1420884749999995,8.557125974,12.75802458,3.557125974,4.1420884749999995,7.016557592,6.257565692,6.364480896,6.949443397,9.111714826,5.727050975,5.142088475,8.842528193,6.016557592,5.142088475,7.914677978,8.08068793,8.338485687,5.557125974,6.142088475,7.686408991,2.557125974,8.879054069,7.312013476,7.08068793,6.805053487,4.1420884749999995,9.064920614,5.364480896,6.879054069,9.522910258,8.016557592,6.464016569,4.557125974,5.879054069,8.142088475000001,6.142088475,7.949443397,7.805053487,4.1420884749999995,7.364480896,10.250612931,6.364480896,7.312013476,10.874538588,6.727050975,7.016557592,7.511322284,8.932165405,4.879054069,5.557125974,9.746950533,4.879054069,5.142088475,11.22601096,6.257565692,5.879054069,3.557125974,6.257565692,10.390015988,4.1420884749999995,3.557125974,8.312013476,4.1420884749999995,5.727050975,7.312013476
7,4.036950646,4.621913146,10.221825988,8.39450265,9.552650484,5.35887874,5.844305568,12.05097112,5.35887874,6.894931641,7.680806835,7.560512602,8.666307266,9.340731394,13.81091401,5.844305568,6.284878159,7.844305568,5.496382264,8.496382264000001,9.186697765,8.226775203999999,5.496382264,5.737390364,5.206875647,9.048177901,9.778417632,5.737390364,8.967687983000001,11.52277995,6.844305568,8.737390364,5.036950646,15.32840916,5.35887874,6.737390364,7.86984066,7.882440697,5.036950646,6.036950646,7.967687983,5.206875647,13.54820914,11.5106564,4.036950646,4.844305567999999,12.51470891,6.124413487,4.621913146,9.00273493,8.576109457000001,10.206875647,5.206875647,7.036950646,11.84591482,5.621913146,8.737390364,5.621913146,6.991146956,9.488161757,6.124413487,10.161071957,5.496382264,8.831366511999999,7.429268068,8.479894140999999,8.651660490000001,10.150692812,7.322352864,11.16365512,8.695162128,9.196821982,9.606806254,7.967687983,10.186697765,12.77166027,8.805134970000001,7.943841241,11.34073139,11.94384124,8.991146956,9.025635332,9.680806835,5.036950646,4.621913146,8.805134970000001,5.496382264,8.446341581999999,8.528803742,9.411990077,2.036950646,5.844305568,10.416329013,9.226775204,4.621913146,5.737390364,8.955813883000001,5.036950646,6.991146956,9.059318459
8,4.45239471,3.921879993,5.45239471,7.144272414,4.999882505,5.751954991,4.751954991,10.560919166,4.751954991,9.954078815,5.921879993,4.559309914,7.901702111,8.152834428,14.68886893,4.839417833000001,4.839417833000001,4.45239471,4.21138661,6.144272414,13.12916552,9.717739276,1.7519549909999999,4.559309914,4.21138661,6.144272414,8.329383819,4.073883086,9.703239706,11.85851793,9.448922518,2.751954991,3.336917492,15.12964001,4.21138661,9.584845006,6.961408357,3.658845587,3.559309914,6.424380333,10.243808088,7.395811181,14.10523968,12.48369828,3.921879993,6.682692329,10.774322804,6.999882505,4.3369174919999995,7.03735721,9.723498545,9.820733269,4.21138661,5.506842494,6.980773682,3.751954991,10.273555431,8.259749632,4.999882505,9.384950189,6.424380333,7.227688422,5.45239471,8.351867834,5.751954991,9.271591244,6.921879993,5.706151302,7.126994423,10.219560542,5.839417833,7.774322804,9.023418019,3.336917492,8.135659283999999,12.86667338,8.946711846,8.8552428,13.31943579,8.431435091,8.486664612,8.59115878,8.901702110999999,3.073883086,4.751954991,9.04657574,4.751954991,7.533314705,8.223630206,6.706151302,4.21138661,4.21138661,7.546370858,8.533314704999999,4.751954991,2.751954991,8.152834428,4.073883086,4.921879993,8.08287187
9,15.59515261,4.513802326,11.82123085,15.00103944,5.65130585,9.909550654,4.892313949,6.715436187,11.35929238,8.203101487,9.769303059,5.439801745,11.52502958,7.850085714,13.21839767,5.999229153,8.449262074,5.439801745,6.439801745,9.098764827,11.66456507,9.024764245,5.513802326,9.341621351,5.361799233,5.715436187,15.02446761,6.049855226,10.793645019,11.74646308,8.169154155000001,6.776836732,4.361799233,12.75983031,5.715436187,14.04420866,8.341621351,7.024764245,4.65130585,5.65130585,10.48649498,5.999229153,14.08839585,12.92488955,4.892313949,5.999229153,12.15260023,8.675690008,8.439801745,7.07451728,8.946761732999999,10.191874231,4.191874231,11.58740837,9.435048215,7.531724234,9.371783321,5.439801745,6.098764827,10.361799233,5.999229153,11.24172278,7.919794686,9.140241463,7.47727645,9.444539664,5.098764827,6.835730421,7.65130585,8.279337072,10.308218192,11.70065939,9.024764245,4.191874231,9.504757186,15.2989278,9.458660772,7.699668871,14.239339,8.761729839000001,8.999229153,9.571252598,8.992774131000001,4.513802326,10.015241471,10.233533383,7.878374758,8.723255692,8.703626885,8.899233363,4.65130585,3.191874231,8.169154155000001,11.13292184,4.892313949,4.999229153,7.960058556,5.892313949,9.817583074,8.049855226
