Unnamed: 0,Response,cluster
SRR7344546,R,0
SRR7344554,N,1
SRR7344556,N,1
SRR7344564,N,1
SRR7344565,N,1
SRR7344567,N,1
SRR7344574,N,1
SRR7344575,N,1
ERR2208929,N,1
ERR2208930,N,0
ERR2208931,N,0
ERR2208933,N,0
ERR2208934,N,1
ERR2208935,N,1
ERR2208936,N,0
ERR2208938,N,1
ERR2208939,N,0
ERR2208940,N,0
ERR2208941,N,0
ERR2208942,N,0
ERR2208943,N,0
ERR2208945,R,0
ERR2208946,R,1
ERR2208948,N,0
ERR2208949,N,0
ERR2208951,R,1
ERR2208952,R,1
ERR2208953,R,0
ERR2208954,R,0
ERR2208956,R,1
ERR2208958,R,0
ERR2208959,R,0
ERR2208960,R,0
ERR2208961,R,0
ERR2208962,R,0
ERR2208964,R,0
ERR2208966,R,0
ERR2208967,R,0
ERR2208968,N,1
ERR2208969,R,1
ERR2208970,R,1
ERR2208971,R,0
ERR2208972,R,1
ERR2208973,N,1
ERR2208974,N,0
ERR2208977,N,1
ERR3262563,N,0
ERR3262564,N,1
ERR3262565,N,1
SRR3184279,N,1
SRR3184280,R,1
SRR3184281,R,1
SRR3184282,R,1
SRR3184283,R,1
SRR3184284,N,1
SRR3184285,R,1
SRR3184286,R,1
SRR3184287,N,1
SRR3184288,N,1
SRR3184289,R,1
SRR3184290,N,1
SRR3184291,R,1
SRR3184293,R,1
SRR3184294,N,1
SRR3184295,N,1
SRR3184296,N,1
SRR3184297,N,1
SRR3184298,R,1
SRR3184299,R,1
SRR3184300,R,1
SRR3184301,N,1
SRR3184302,N,1
SRR3184303,N,1
SRR3184304,R,1
SRR3184305,R,1
SRR3184306,R,1
SRR5088813,N,1
SRR5088815,N,1
SRR5088819,N,1
SRR5088821,N,0
SRR5088822,N,1
SRR5088824,R,0
SRR5088826,N,1
SRR5088829,N,1
SRR5088831,N,1
SRR5088834,R,1
SRR5088836,N,1
SRR5088839,N,0
SRR5088840,N,0
SRR5088843,R,1
SRR5088846,N,1
SRR5088849,N,1
SRR5088850,N,0
SRR5088853,N,1
SRR5088856,N,1
SRR5088857,N,1
SRR5088861,R,1
SRR5088864,N,0
SRR5088866,N,1
SRR5088867,N,1
SRR5088872,N,0
SRR5088878,R,1
SRR5088880,N,1
SRR5088883,N,0
SRR5088885,N,1
SRR5088887,N,1
SRR5088890,N,1
SRR5088891,R,1
SRR5088895,N,1
SRR5088897,R,0
SRR5088898,N,0
SRR5088900,N,0
SRR5088904,N,0
SRR5088906,N,1
SRR5088908,N,0
SRR5088909,N,1
SRR5088911,R,1
SRR5088913,N,0
SRR5088914,N,0
SRR5088916,N,1
SRR5088920,N,1
SRR5088922,N,1
SRR5088924,R,1
SRR5088926,N,1
SRR5088929,R,1
