,R_113,N_16,R_88,R_110,N_37,N_41,N_45,N_71,N_67,N_25,R_89,N_35,R_11,N_57,R_94,R_81,R_48,N_42,R_96,R_27,N_72,N_65,R_20,R_83,N_51,N_80,R_86,N_36,N_70,R_101,N_7,R_91,R_68,N_8,N_64,N_61,R_106,R_44,N_79,R_55,N_19,R_97,R_84,R_87,N_13,R_26,N_24,N_56,R_34,R_15,N_29,N_31,R_115,R_85,N_2,R_114,N_53,R_21,N_69,R_104,R_12,R_60,R_99,R_18,N_30,N_77,R_28,R_32,R_90,N_6,R_109,N_52,N_54,R_40,R_75,N_43,N_63,N_5,N_3,N_50,N_59,R_93,N_38,R_14,N_4,R_10,N_23,R_103,R_98,R_112,R_0,N_39,R_100,N_49,R_105,R_107,R_9,R_102,N_1,R_108,N_74,R_95,R_33,N_78,N_46,N_58,N_62,N_22,N_82,N_76,N_17,R_111,R_92,N_73,R_66,N_47
12_SCORE: MTATP6P1,0.6071435956317374,0.7459403441335344,0.7122681043829915,0.6237432814679774,0.6887638803315923,0.6299371154130422,0.7412758827017532,0.6191470498688153,0.6566733039038457,0.8974512560634946,0.8172988058606253,0.7448484236687317,0.12149723162971204,0.8416678431778862,0.7601377711156391,0.6499482915369597,0.7173797493470124,0.6263647762002272,0.7721368666104148,0.6087724999366088,0.6262168748528556,0.5850698059407189,0.7692565112687372,0.6409220812514078,0.7524173672605159,0.6964255684029916,0.6542831947868529,0.7882985121665125,0.7764314801889585,0.634979087902087,0.8154458273161023,0.7283927087747435,0.8363029256471362,0.5026442463974534,0.6988489957105041,0.7236842631546573,0.8310213581229948,0.5568745062698284,0.6700377611976842,0.8604171105208149,0.5465554429869675,0.7032900493019145,0.75958976808148,0.7878869881900321,0.7942228124789633,0.6065369929848551,0.8531097784549755,0.6385459857263358,0.7464534631196456,0.8179417504954878,0.7066542236162888,0.8832145050395664,0.6672555872110154,0.7373135015233289,0.3618315554926528,0.7178979871331721,0.7076174266104787,1.0,0.6645119421989385,0.6307959948392381,0.8305789968853186,0.7525744299163574,0.6164946124113772,0.7383872907139267,0.8929445618948402,0.7284188238068732,0.7408989766000142,0.7396328832583774,0.8263639536535293,0.807231457280059,0.6069751140362177,0.7130896151098962,0.6773721679121777,0.6715135606122309,0.7595700038930215,0.6856666131152994,0.7295843003003842,0.8454127500697576,0.4963458483010853,0.6640700097435005,0.5992272249147337,0.6136411189771771,0.7374148831518657,0.8281692907440945,0.39836760194532417,0.7760803743365411,0.6913826743261154,0.7202380959265888,0.258149540802046,0.7430578793660815,0.0,0.8554463149369385,0.7427971500830884,0.6347208522284999,0.6115091133724045,0.15956598472050432,0.5533278373733953,0.6987474172956939,0.4215349441708445,0.7649186307405864,0.6574511754965763,0.8310935100752831,0.6946119282926876,0.7734249329349685,0.6050108675835577,0.8086219460311028,0.9175150334417603,0.6516781385670255,0.7171723239202283,0.7102106836029981,0.7257781781702289,0.6276758412229309,0.6246700223483371,0.791722650127741,0.6179305380020566,0.8017364676119847
13_SCORE: MIR3609,0.44230734986749254,0.4855524419461911,0.4994787360111581,0.47873789181721743,0.517884866436676,0.5415801549256948,0.4565907733412596,0.48131268452632187,0.4790578476211976,0.46314861550382724,0.5155733967583609,0.4673765339075522,0.4690179997670855,0.2084756637944249,0.46590713199029266,0.4751646386754215,0.44478222932871275,0.49475551405801327,0.48347990482414605,0.4584703582162455,0.4748397022788047,0.46338158807623836,0.46926350126451805,0.46860442838447913,0.4709158497676496,0.45880430892093405,0.47647216168980977,0.4900841831536935,0.18512255531565985,0.4667311003612728,0.5307583515964531,0.5415348651455109,0.2694908069781623,0.534141183044788,0.4766114695642735,0.5230177816662418,0.4692498410073677,0.5507138107725362,0.47646900857861,0.4771811227612998,0.5545399479458124,0.43459892628213176,0.4365644265325952,0.5973058696096707,0.477020211016736,0.4362882586190931,0.4691257265957161,0.5130244353172138,0.5273238626865291,0.3546063584646597,0.5013972587917708,0.5857699545617324,0.5097822203530593,0.47263426886462756,0.9802185164059434,0.5258652556803043,0.4703719262519073,0.5056317950818058,0.42931582013301717,0.4787210297244378,0.514198379386951,0.4337384087848214,0.5109287356804089,0.4741345994960735,0.5485632227429951,0.44774544076512013,0.0,0.5029668174514035,0.46346334844884923,0.4942327374220101,0.4406355699926096,0.4629845295621654,0.4735844482226695,0.4742140579093913,0.46422254456101664,0.1901113320285489,0.4782278688700923,0.43753256149568354,0.43538368983654474,0.4759485414786429,0.29288334003733074,0.5128328995254884,0.4799684466664171,0.6259538024631761,0.345202241812406,0.5132094557350056,0.4870674866118602,0.4392998124262414,0.8834056572586443,0.2049588097375888,1.0,0.33631235376357665,0.5032137164329907,0.4749142652756941,0.484248342572563,0.4681939572022242,0.2988503221731469,0.5278480860590213,0.9546574139758999,0.5098427746832955,0.49436826948395846,0.6124631556861478,0.528276270353045,0.1779056682543116,0.3185365276150437,0.47900222560590155,0.4676351043891371,0.5474602981550213,0.47755587005655176,0.4768304737963902,0.6270502731699,0.448626671446667,0.5210444956107803,0.45885429356686713,0.476436389359111,0.42895704480846153
14_SCORE: S100A9,0.35728140129287894,0.48346548789688365,0.21175727016437232,0.4499906257612801,0.42212510833862854,0.3333744984825945,0.4677324796600079,0.5987799003967842,0.2338409520157945,0.31172370356850265,0.38646161538000073,0.4588308146768556,0.2565895018115181,0.5480979915478029,0.28807777256975603,0.3967707858377759,0.3158437888884763,0.3865100906068863,0.5026664484133333,0.4149647393962631,0.4978254667185331,0.3390936833522151,0.2507472067258507,0.5407083863791126,0.23251052431824176,0.3315131924010572,0.3982019716467726,0.48514073558853055,0.7478106479825415,0.5174641129803038,0.18302002774901718,0.36966486264411386,0.340540876140384,0.17862939692794771,0.354544685357539,0.4164009724915449,0.2963080410692265,0.39178975796292953,0.2844484210892608,0.44313659729683297,0.4725077374703574,0.4850913688151046,0.5534616288415142,0.3600806419902311,0.2866221415098675,0.3358001727947614,0.4318827919035665,0.32081775492807163,0.13087434739198484,0.22496109223305832,0.23636616721367049,0.2994933500668224,0.2036942875207035,0.4601190018764505,0.0,0.12091848117710985,0.31253011250983503,0.2672594894858372,0.5094959642358705,0.4624953411438822,0.4219388236430367,0.5611377947072309,0.3090778774906737,0.4678908033319641,0.157246568355492,0.2528942538056996,1.0,0.2683692595888422,0.48039747827105583,0.2779093920525392,0.35131507115949473,0.3188227595651928,0.2605550770518408,0.23274925344404704,0.282723824483645,0.8303349985324573,0.447501106523449,0.4830267996473606,0.22981372257461968,0.20708757121316596,0.35630939797171735,0.31303657235273186,0.32335321412305335,0.33518775818441404,0.28038071602631015,0.4384138021995421,0.33515754856799457,0.528268272458774,0.1941209792703303,0.6621905969447146,0.13023490479168856,0.35652993299677715,0.28364044256173593,0.3139856652519581,0.4573960899754241,0.2689626884012219,0.3833484311028098,0.06975891929906763,0.2337659639586087,0.4347287074887003,0.3795515246530161,0.3449765155111904,0.05871121641916499,0.769556534864674,0.432626034890389,0.4159206420883799,0.4438095329390438,0.1849118105762065,0.354880700935244,0.19008379472905734,0.28972714564946844,0.302274583116935,0.08285993308255901,0.5444745309008812,0.4651070654649192,0.1748451968779098
"2_SCORE: PMEL, TYRP1, DCT",0.01634951367952462,0.0023650355739328823,0.010507784751141887,0.0008460528203482558,0.1389411255443293,0.06627121555013743,0.0026217688934785724,0.0007431036393917281,0.018570154251286063,0.2323552234676113,0.003954523538881188,0.10137227999323015,0.004409838519004894,0.3541027918020214,0.17364259849499464,0.002868891508802143,0.003594404207406431,0.0038049925165638885,0.01408989602524099,0.013399300054441562,0.0,1.0,0.1212217060317024,0.0028694350407648065,0.059827968777538626,0.23562230043406984,0.005328346995264065,0.003415329237656067,0.016342021489725675,0.004815927504625319,0.06366814113520977,0.002768858413570796,0.014980597117463051,0.0028926403311838314,0.19881865951600852,0.0030466471448525522,0.0045881476314149966,0.000616821934328974,0.05737961368229534,0.0034622206020415787,0.0016464459568862732,0.017871275836801714,0.01713544632269028,0.002295557414689867,0.0029860251989975205,0.017448170849556723,0.046293997514118695,0.021164903834292998,0.0010696095878489444,0.0008243638451071833,0.14136193710530817,0.001958969856006563,0.004921582428942358,0.0022577143042141652,0.07368159150443468,0.006574121497664474,0.23605007497736072,0.006065787872272455,0.0014310034413144031,0.001002995026725202,0.00360453888336315,0.018086798405545362,0.019284441918295595,0.0021857096381315316,0.033226751914957234,0.00281341726551651,0.0025246579368633005,0.013781602600707262,0.008080179273591457,0.06653303825385759,0.016654661561564768,0.2979403452383904,0.04725650047092971,0.03651139576659346,0.17717582993314515,0.012353905441756996,0.001329489781692597,0.10840875077253201,0.002342073149185552,0.005256082845795516,0.0016965623669743142,0.01839098609435056,0.0026736534704927912,0.0026416223312917516,0.0027010740860285774,0.0744313290483159,0.004375378463788779,0.017032733885833217,0.0024560692942200675,0.0019591136882012453,0.002372036361467562,0.17023644966853502,0.0015755262678664897,0.0012431461027620377,0.000812467944478072,0.00511214707819115,0.006198832925093224,0.007078813453908272,0.11859150398147886,0.06809858989751011,0.0026414946441051515,0.0027160338525381925,0.007187799664379544,0.012203043303068149,0.0018471193001729485,0.003212906983469577,0.36070429538632215,0.05988692955556628,0.0035395358546476234,0.0018904818740748115,0.002331241294443971,0.023650016117230784,0.006848782189730642,0.003878263403018439,0.0008354630052077264,0.043817896175774064
15_SCORE: ORM1,0.3948821369013852,0.46674250601252054,0.42071812064232567,0.4586684291566701,0.42685980600513174,0.4258096008520186,0.4436669170013161,0.5209688353648699,0.4256750580218496,0.42496764799577746,0.4415036301839439,0.4249874021505993,0.42708076148400237,0.0,0.46951457046219847,0.4258177089641965,0.47567027713229054,0.42708076148400237,0.412701200057468,0.4073224135082426,0.7608796680972613,0.4469234548300936,0.42708076148400237,0.41981808320921477,0.4384130138367937,0.4232379166763201,0.4264386402174122,0.43796116519790856,0.02280202404408338,0.41750820299021474,0.4230374468736396,0.4282492376456651,1.0,0.42708076148400237,0.4348215866975824,0.4648521497237179,0.45613243186055474,0.438748946409478,0.4260287054962208,0.42708076148400237,0.4370355557323123,0.4008125143592366,0.40755196298130986,0.43684104630792525,0.43287781008930953,0.39024938794547803,0.44435116443098227,0.41541361172797614,0.42966570636472967,0.5373444493554124,0.44543615552536825,0.432926227987468,0.4388398925792155,0.42943129971634497,0.42708076148400237,0.4298182324821492,0.4364092279880985,0.42708076148400237,0.4331124623678588,0.4590151254086853,0.44306482772402495,0.4061931934041254,0.4324974733421854,0.4269405035182991,0.4265659471194543,0.4262865044922171,0.14584341987731997,0.42708076148400237,0.4204851573278983,0.42557162500137813,0.3935954083654239,0.43090098832979845,0.4611817909575915,0.4267284552184704,0.47042732663245607,0.10414505001251995,0.42636108269889816,0.39873907442178586,0.42391353555646694,0.4340647556457245,0.19747390375343477,0.43279667672349514,0.42708076148400237,0.43134199592394984,0.23081240418985208,0.44388486011581263,0.4847364609534498,0.4064471179407421,0.4267486785923196,0.256158696942718,0.4246684651259634,0.7648517455040039,0.4284303999277383,0.42315080610219336,0.45780280296507486,0.4255371254337167,0.9763247707566398,0.4275669228085286,0.4090849672088518,0.4422860527054559,0.4409421159951433,0.43095558889828733,0.42708076148400237,0.041228939045956925,0.9703349298760244,0.42708076148400237,0.45723802785420165,0.4238650539487001,0.42517645270563975,0.42708076148400237,0.4280342226817056,0.40211713496733603,0.42708076148400237,0.6045125446329871,0.460042279192043,0.47395750694476513
16_SCORE: PGC,0.4192223273802617,0.41931602115815525,0.4249029066409938,0.41883027681730606,0.43445105967482217,0.4083348867967379,0.47257634190650766,0.4173385444230053,0.4183092341807066,0.409985663168974,0.413865575041936,0.4815567725878128,0.41236709557237017,0.41657769810419837,0.4255072276923894,0.4180906581443957,0.4542599415037296,0.4235711346940687,0.4183210822410589,0.4170192124336179,0.4245554733057315,0.4183092341807066,0.4190890798597024,0.4180144681686723,0.47328411581307567,0.42471569775647755,0.4180558246599811,0.42121290949390805,0.4183092341807066,0.4178304907116602,0.4078538179866647,0.39091739825361826,0.42116948393720577,0.40178345734012816,0.41958267724905224,0.4227094552982122,0.4397056766444887,0.4192698150593549,0.4423868938027897,0.41931558511216316,0.39302153025659264,0.4332352258909268,0.4386126007633218,0.36855852563607977,0.4166368739762647,0.4200427656061434,0.41897430998475776,0.4183092341807066,0.39311637540721633,0.38632776403726055,0.7285037756200068,0.40552081959088077,0.4189296646821726,0.42070286463636014,0.09465287381816079,0.41746582443531494,0.40396369991901987,0.4180643083470652,0.41803314912986755,0.41964517165745263,0.4133845729707991,0.43995524341456493,0.42088019750636607,0.4188952156754652,0.4087820421993179,0.41844460597538424,0.4202844074842803,0.4101401712134691,0.4258329075481358,0.41799146562603134,0.4194502010007154,0.4203664371672692,0.42745166896855574,0.422366299329555,0.4258074511071435,0.4250421782448475,0.42359996915254655,0.4183092341807066,0.4195618240077451,0.41885730897889034,0.42303225515755927,0.42080312257248076,0.40550123801184484,0.3563546455640525,0.40015547197674645,0.4170771130461303,0.4179734243262966,0.4347976828845773,0.19801036769498348,0.4097248104103702,0.12629968990761303,0.42669553101866253,0.4048016587112651,0.45853296202851157,0.41996645724603193,0.412730545760917,0.41924354705815586,0.41815944877687383,0.0,0.41716680418781826,0.583493341715966,0.3620639182470173,0.4183092341807066,0.4157553605358032,0.5251568241890536,0.4230687561252004,0.4261006390716419,0.43598331820022057,0.4183092341807066,0.3899192282681472,0.40255672365984796,0.4207986816009205,0.4175840660737422,0.4145949318783782,0.4200483363979618,1.0
17_SCORE: SPP1,0.49711224449933455,0.8393258619051851,0.15429809035617065,0.6151628011445771,0.5726789973273473,0.7300327104397346,0.556817132268657,0.6354858033704702,0.5678959863997701,0.17482677591250462,0.39104257527588093,0.26903684162530805,0.4650132449912977,0.5572306764216195,0.6895447610599886,0.5774048779746441,0.23736022843131888,0.6618360650802003,0.5745435633066331,0.5023342986532302,0.9999999999999999,0.2376239959298548,0.2549543486604566,0.3455623530796233,0.17952390918540867,0.31491027011501865,0.5729419306618946,0.3888528119259368,0.1348025053981481,0.37454234572030987,0.5755684780769694,0.6618831177526918,0.4414455700037666,0.029393990352494737,0.33305939761660647,0.8547790127461459,0.20621365313483747,0.3961681858273895,0.20158646706787292,0.6955593755682191,0.6371832073973821,0.5026999475232036,0.5188330395495778,0.740335651541763,0.4970016408012212,0.4951675557521554,0.4368630860195449,0.5598795707418444,0.5555592014521452,0.3661792203671112,0.19338355883823366,0.5610790796911438,0.22046863458532853,0.6573348485953894,0.5876130559603878,0.07422016598284031,0.4072766379517837,0.1599004580876412,0.4900490774220822,0.6068167790302095,0.43337081935052524,0.5065368212831901,0.43154971717063817,0.6799579956812438,0.30580816194461735,0.32224303397976717,0.4221106353387421,0.31669647182980043,0.6358722956806941,0.5301091087161872,0.4965721145401303,0.388241029463795,0.2583891703315382,0.46420069292736305,0.6981630732416221,0.4801153109073783,0.7773614078775883,0.4335542027232318,0.1933121792501587,0.5949283252726747,0.39087967840894133,0.42985631248027756,0.4207253400047909,0.7693343591876389,0.15406997163315328,0.4475471147141254,0.4881379014097101,0.5055918118846301,0.552473714182612,0.4739790623286473,0.45426224706805207,0.5679730272624561,0.611947896138286,0.4089560530886834,0.5946570164536382,0.4679289808583794,0.47248764256304887,0.013181134786524551,0.5826954265670753,0.45903855309591457,0.38866804628752516,0.7626444733363856,0.0,0.437455717136545,0.595323649184609,0.15914781498105718,0.4617591426406907,0.4558585676769507,0.5582611718603134,0.23983709271611411,0.5572209672013375,0.48509309602666495,0.05674939559818065,0.47583910959416564,0.6179862052826379,0.01881853800422517
18_SCORE: MT-ND2,0.6740289223292126,0.6211574817522147,0.887554080218588,0.7545977478944936,0.49368712584273633,0.6618770325196283,0.6200336944554348,0.7137679705019104,0.4781432659828476,0.798053381538148,0.5545242957950461,0.8909703185914928,0.6054682868398155,0.8750303321852543,0.7284842719810477,0.7884292475769301,0.5576434121524697,0.6426710201495551,0.7491556386938905,0.7230437555127756,0.6827794945735451,0.5692209364164479,0.6388459096272008,0.7271447917141558,0.6573021120931162,0.8488122974843275,0.7808484347089423,0.884132294552998,0.6315195602234953,0.7263866969000589,0.6830221362209092,0.7661972785418466,0.5520552161889427,0.6406371126182641,0.7082330991599352,0.6710924384435946,0.5951608976725214,0.508828028670206,0.734617534154991,0.5065013155520212,0.6747832787305152,0.720240994280398,0.7370382251729063,0.7411594479327169,0.9435055827793585,0.6557758380585675,0.7216421355930149,0.3004811186907595,0.7497156807377533,0.5493261359973451,0.3966427690756469,0.628691202549249,0.8780957094441255,0.5102172031284047,0.0,0.8720712025234203,0.5691636807608957,0.6509472757263175,0.6934567069637843,0.7401436029514981,0.5120992571017933,0.7530784612974084,0.5865541809247662,0.5076624532674334,0.8211722886983169,0.6450607291035446,0.6822889490260488,0.705092369857063,0.5843622345953139,0.6839879932787278,0.6689591970702173,0.5656642325133094,0.7363464109450961,0.6582818483427396,0.7342049243646498,0.698421613379852,0.5827831703277844,1.0,0.7602625051522915,0.601536300233479,0.7241681783905286,0.5828341092999781,0.9408725917663305,0.7379195507075607,0.7189575521393361,0.5678513796909688,0.42824605265945426,0.7463246418064365,0.5641089104161662,0.7084961883603749,0.4853938536443706,0.6225307483080601,0.6399954408736743,0.6922584191981216,0.7289564349158576,0.6146539602724059,0.39316579939466045,0.9332498154546767,0.610416070873303,0.5873708671174752,0.4738561821428187,0.7169346381920195,0.9464610923588901,0.6374309786909925,0.5887089877476525,0.606520642381803,0.7648310722225904,0.749524124631235,0.7078992373020289,0.8596221493539339,0.870648199268101,0.6565911192132149,0.9048469322785744,0.6190288525561007,0.7548290099102741,0.6317718711311316
19_SCORE: MT-CO1,0.9996223053228354,0.9977117262594685,0.8971070240602507,0.9647195517672875,0.999910290881084,0.9997262114669414,0.9998484782898928,0.9999291539611282,0.9997844761879366,0.9994065712443834,0.854299104976862,0.999933696446087,0.9989496470458195,0.9998325892431764,0.999399379727728,0.9992047022701275,0.9975977515290855,0.9995774646271972,0.9811581123287072,0.9998356396012025,0.9999916716478494,0.9998309373452122,0.9493352088241438,0.9998872898088218,0.999959275296397,0.999873859108104,0.99887174878135,0.9998351814700341,0.9998156381330905,0.9998777420378145,0.9998530172643824,0.9990660557462384,0.999922367249248,0.999375089237802,0.9998039146369224,0.9797387589909462,0.9953322403586473,0.9998216909676432,0.9998198029663108,0.9997415369808315,0.9998007306576735,0.9832611580783636,0.9765791213181386,0.9920273607527986,0.9996289002829986,0.9995428598099583,0.9577775298399644,0.9997315750504296,0.9994537227006555,0.9997108558472182,0.9997285126619138,0.9993106109516346,0.8987019644367109,0.9984577919015655,0.9998913844971176,0.861348763993659,0.9996336952616702,0.9919635534414067,0.9999121517045795,0.9564362131123757,0.8533572533945455,0.9749675328872257,0.9998500535007784,0.9985041204626551,0.0,0.9998641471902318,0.999927741869813,0.9948389321405832,0.9919187246870181,0.999803825651594,0.9996002396315048,0.9996094742772177,0.9995706594937067,0.9998762271667175,0.9997513300649419,0.9998670950811043,0.9845052790009999,0.9998829029493168,0.9989844223637374,0.9994198321322629,0.9995653785676375,0.99984869603419,0.9910209658878917,0.9988897057044801,0.9986995113289813,0.9895168004661057,0.9985164329287446,0.9805595538323522,0.9987615917567901,0.999743501383884,0.9987035717377121,0.9999755346629704,0.9990232777674574,0.999854268305427,0.9669390352860946,0.9990188658919725,0.9996357594801526,0.8627069518744022,0.9998752903512086,0.9903741071363769,0.9992378854087784,0.9989669494221164,0.863000247117964,0.9998596953150874,0.9991064664127355,0.999862938289081,0.9997599094408673,0.9998374296935928,0.9985767725714326,0.9999056028419788,0.9985596086582629,0.9996513143223984,0.8795912719133663,1.0,0.9630742048008049,0.9999807623699496
20_SCORE: MT-ATP6,0.1334216790004439,0.381933880591542,0.3455668548109071,0.1894968531561508,0.1260906752416122,0.21101161250270684,0.36507670889225585,0.45606366587539093,0.30889761132949084,0.701676703295518,0.5380144998501829,0.6897799847118358,0.48361495747911143,0.6543577195700674,0.7552302984263889,0.5337570373864726,0.5275652982832124,0.4502459579173386,0.49057247698936335,0.1139226803485815,0.4087577908260179,0.4121569544369325,0.6158644300623997,0.32709080619429837,0.5175355218363137,0.4765780747109169,0.5296722035741525,0.5849453007589887,0.6903285676638908,0.28768572835569234,0.8466740283640155,0.5308215395047617,0.41619363919083235,0.5221466683503101,0.5407956233374702,0.2583251213098689,0.7175313018539102,0.4144474482985183,0.3478008146867798,0.3665303900666009,0.5812911648468694,0.36404645719358336,0.47058417512866296,0.4585996916517975,0.2336796644045842,0.1406830903420414,0.4964457041944916,0.3175507477344854,0.6087003650524478,0.494840252890826,0.3528920476537793,0.01691387814027856,0.24553748688480442,0.5064994039847716,0.6254655750249021,0.3351544924326107,0.3780909478259191,1.0,0.4939708446146985,0.1935661362158036,0.56511708999245,0.4778240018652524,0.38152479517977017,0.5053646286856782,0.1348695489953097,0.244058411276528,0.5962758077177388,0.0,0.40167323703279145,0.682336434929706,0.13543850859201476,0.6946714264728375,0.22699235957402172,0.351142934700108,0.7673505092643924,0.5023316302017768,0.42312452260981515,0.8064868085474695,0.8126923666727521,0.2867109266769371,0.4950047834136606,0.38310051485876145,0.3352182494298917,0.527087762706756,0.7715509184077691,0.4149011905689374,0.4884234363984722,0.3959945391206384,0.26261230468345226,0.6011049509881838,0.14283712487772343,0.41706046692486753,0.561859337980898,0.4721224557689581,0.19538643238797504,0.45473246552224256,0.44092907841647827,0.2960714668698803,0.6239456447115435,0.42541904183731927,0.20456501855703313,0.5125284847124585,0.28763164373195055,0.39277669880439053,0.447272604647876,0.5973962033881479,0.2395287443382928,0.6506323465645385,0.3910176550065597,0.20138278165027718,0.5738181694461152,0.2091520611194375,0.3115491014006823,0.09523785690486467,0.16963931206324356,0.30028674896309376
