,R_29,N_5,R_15,R_27,R_24,R_30,N_20,R_17,N_3,N_23,N_4,R_28,N_1,R_12,R_13,N_9,N_22,N_2,N_0,N_7,R_14,N_10,R_25,R_16,N_19,N_8,R_21,R_26,N_6,R_11,R_31,N_18
13_SCORE: CXCL6,0.5337380907675067,0.4395327096305468,0.43156629921324385,0.6011005379572005,0.40279450181484666,0.4990845077544663,0.5060540694131628,0.0,0.2987693494883592,0.4913084885047398,0.6252820169990644,0.41239589836463914,0.3612130459699149,0.5507680681921959,0.5352986763366717,0.4324762256052338,0.4302293214404025,0.8339830462229026,0.6773811972325048,0.5393357967138641,0.747137041958321,0.5367480795660212,0.7091450622146183,0.5248139200276105,0.12193445057061436,0.45818908011887177,0.6785801578419541,0.5274086838054929,0.9323858692911104,0.49976289628035303,0.6824475599281363,1.0
14_SCORE: MS4A1,0.16002905217917654,0.4262125677285271,0.29214024785311055,0.4561078948759095,1.0,0.616742978226021,0.874328732891958,0.42644901075599334,0.29400163034978066,0.24206303604518226,0.5708922964631791,0.7637811052298493,0.7557560522545955,0.1380087797962567,0.7908473902646154,0.3289704522355692,0.0,0.30105160780416684,0.297650361969682,0.2181421745374185,0.37226853228385637,0.1428276427592073,0.2003071925568524,0.22951998591057668,0.11573562878373245,0.779840998189868,0.06196268037274072,0.22037116078289368,0.5400589589098654,0.13205917536941547,0.07946752346039654,0.21461313748285765
15_SCORE: PAX5,0.46700885035114165,0.4614773216597066,0.6135623541155876,0.6536367585250031,1.0,0.7632860310512707,0.9258808014949165,0.06292029680611888,0.4542173532538451,0.48720263739724307,0.5861311528397869,0.8710424299000796,0.6424890538293047,0.4425813364292377,0.8435920491528337,0.5892691146745027,0.4948398662097102,0.18253537507293965,0.47736996566313405,0.25508606140143164,0.7168840283426744,0.22381366633000205,0.5578858848378295,0.32033706648523536,0.14048743770682653,0.7733028997057321,0.42997038571298263,0.33255842708212036,0.582441670937882,0.2063071801028848,0.44615563733814073,0.0
"7_SCORE: PLA2G1B, ARG1",0.612710008866147,0.35078240822380924,0.45265151335170556,0.3123931682787592,0.08410984404584387,0.2576961801471027,0.059711222447439205,0.07662986500701441,0.3405213478267587,0.6083025346838908,0.30084175970982224,0.20709537265675962,0.3385397388385406,0.6393885325934421,0.15312964239068358,0.594202842101962,0.5768173866099211,0.4600001128314383,0.5488281370968878,0.5411197295257851,0.0,0.5448621702024306,0.27703981921663984,0.5553851881931778,0.2948105528140175,0.32210024716566754,0.49992095462734387,0.563783415478025,0.41600999345617007,0.3047988356693283,0.47171962418808,1.0
"0_SCORE: SPP1, S100B",0.44757881458804505,0.6142729110522676,0.357865109322323,0.5822593085460354,0.46935118359583905,0.41537578635077654,0.7492650534994738,0.3810655485708787,0.8278064234286409,0.4912756010725372,0.5882942110836902,0.43214732058868205,0.8790121648043788,0.46253228023760334,0.44622230017546827,0.22771717242205883,0.0,0.6604194222141458,0.16849028345642053,0.6917035443912882,0.738153807724452,0.867793801876386,0.7405283003430662,0.39616209200978575,1.0,0.5494738954651499,0.7424386019464865,0.402797445990686,0.5468667757028272,0.25613546048681995,0.7421968899386153,0.4158328482132987
16_SCORE: MUC1,0.3115201556306995,0.6691926821044856,0.2944754348241564,0.41628426891496567,0.0,0.28220449626770866,0.1382694594687866,0.5608712541710802,0.6033525020365342,0.40045220571706913,1.0,0.09826898836972886,0.34444578662984154,0.31436116689349425,0.2756228370805614,0.4149944071852236,0.33989417452806314,0.8365462463249902,0.3113370817182125,0.8263588064562603,0.12028048894091387,0.781797985285779,0.37609971018951505,0.4127505885578276,0.5329736844095082,0.3156792137021712,0.5819086753158744,0.40291411440955377,0.10642721954517298,0.7476472756483776,0.5558675003990465,0.8155870207492197
17_SCORE: MME,0.5059129120161432,0.40095486507073635,0.4501754654377666,0.25476110431282617,0.23461149605271675,0.15716144417993966,0.2802170480308546,0.34715358295626175,0.7845404497535386,0.4305191247450515,0.6552664521790508,0.3065470488878163,0.9501479610021011,0.5152032204515731,0.0,0.35938920076910924,0.5741552346736145,0.48323347277361783,0.7852754548345636,0.5641001903640653,0.585029168448304,0.6055915913574608,0.5682407345850405,0.3364771024635871,0.414593227310858,0.5673813719630783,0.5547342819321618,0.35434523106391436,1.0,0.6175596279371898,0.5564432643169842,0.9934024669768495
"1_SCORE: MAGEC2, MAGEA3",0.4339586894148534,0.2506260569335754,0.19240473629178081,0.2553754181950102,0.7661459895005216,0.2934495544122293,0.26472874274343433,1.0,0.7189267314780605,0.0,0.13003982766343158,0.5746835927390705,0.15806901574648236,0.47422086262286267,0.3476461060807782,0.4587707488865738,0.639416088458102,0.6874206049892244,0.7292423940969721,0.49788164049655564,0.8134332960559487,0.013008569731866926,0.44396793800765366,0.27769994534756376,0.9803816037752184,0.32411951173605125,0.1467295889155596,0.29734710750863846,0.3584958360125826,0.5780010481033676,0.1843393977785701,0.6875601509177987
"2_SCORE: MAGEB2, MAGEA4",0.23908845890216252,0.3268602449148621,0.33160149500684777,0.3332927829251437,0.3649625759328472,0.3537362599170307,0.540342730490896,1.0,0.4491539294585791,0.266701777248328,0.13008213058629894,0.35382969595093555,0.1969565234010468,0.2236684012484263,0.3656084959449673,0.20265447944704573,0.39214677641468143,0.14522384078225634,0.20679092212357153,0.23118564793527982,0.3006279542441289,0.17340472165016707,0.2976432616855432,0.2964347975138132,0.568343634075084,0.09848858598903365,0.29524204850185537,0.28915998317280167,0.30234641209976465,0.043246955059085934,0.29554587594926796,0.0
24_SCORE: CT45A1,0.29825335741453685,0.31861974703591894,0.23113867193145965,0.2845362607652783,0.033335540859400714,0.21522860031260418,0.05157737401453755,1.0,0.3468042425084581,0.2631744897765019,0.09201848076980279,0.0993441490084074,0.38548229184637745,0.309440022160793,0.20669505020502954,0.2932123173339506,0.28570683023469395,0.1605179573537744,0.34954888838980286,0.1457420629766736,0.26730401391219544,0.37635427591659,0.3276460779135278,0.36679934301622297,0.927483204929247,0.14433512240173546,0.37619183489413477,0.3610648497423236,0.43709977326064475,0.3824895418173585,0.3700493009757233,0.0
"3_SCORE: NCAM1, USP9Y",0.6055666972422515,0.493145239899562,0.427770992654555,0.4960151837247241,0.24200771322398934,0.4867862402326968,0.5111531692268364,0.554556493177893,0.37313473824884746,0.511195175672972,0.43479778690797216,0.3039985192033934,0.7884142268614402,0.6352016560628294,0.5184397477959279,0.9461401162182912,0.8217026397470146,0.0,0.4712151049880978,1.0,0.5907341172706875,0.5721961586117439,0.5236116338019506,0.7831429822209064,0.542255786647495,0.5374120830498273,0.46961096570521177,0.768352560592249,0.25102198733399633,0.7255125548885564,0.4764437139417591,0.322520893708025
18_SCORE: CCL19,0.10574117732263488,0.4735410436068987,0.24818323966566208,0.5958371313733124,1.0,0.6395154154504898,0.8711912689827768,0.27408533770497007,0.6329431825825637,0.5198766882728103,0.856633672648859,0.7491122730777894,0.6244889289651883,0.0819989577811519,0.8494109338847587,0.5696914573681495,0.22740888122847863,0.24846822221878634,0.14374759328651593,0.8482578756234926,0.8188393765369419,0.18367660532719132,0.5297982577881897,0.2664706356944418,0.034378089547419166,0.7336874310937432,0.297261964235654,0.24802809522425506,0.4905526146801518,0.5109361782641829,0.32668496964843874,0.0
"4_SCORE: CTAG1B, SSX1",0.13989192366277262,0.3139394441859191,0.24548353888660276,0.20137479057030466,0.40799303719963653,0.26948309942623483,0.2137346689000927,0.9999999999999999,0.4598263965602838,0.12670646702996008,0.26522969977903815,0.35376221822069476,0.37952368276256454,0.12229193059087562,0.28235554006201447,0.19042253482648624,0.34589404188614603,0.12897893866375515,0.11207606466979284,0.1954806584523554,0.06701340864574754,0.17584181780513203,0.08863097396892364,0.1624602167728673,0.9125428124915289,0.22597642895853376,0.10602250821720685,0.15844439574326907,0.3694579379873263,0.2825787686435829,0.1038219433139557,0.0
